id ,val
1,"it('test 1 for easy 1', () => {
			expect(easy1(5,5)).to.eql(10);
		});'"
1,"it('test 2 for easy 1', () => {
			expect(easy1(4,4)).to.eql(8);
		});'"
1,"it('test 3 for easy 1', () => {
			expect(easy1(2,0)).to.eql(2);
		});'"
1,"it('test 4 for easy 1', () => {
			expect(easy1(99,99)).to.eql(198);
		});'"
1,"it('test 5 for easy 1', () => {
			expect(easy1(0,0)).to.eql(0);
		});'"
1,"it('test 6 for easy 1', () => {
			expect(easy1(42,32)).to.eql(74);
		});'"
1,"it('test 7 for easy 1', () => {
			expect(easy1(50,150)).to.eql(200);
		});'"
1,"it('test 8 for easy 1', () => {
			expect(easy1(3,2)).to.eql(5);
		});'"
1,"it('test 9 for easy 1', () => {
			expect(easy1(-3,-2)).to.eql(-5);
		});'"
1,"it('test 10 for easy 1', () => {
			expect(easy1(-2,2)).to.eql(0);
		});'"
2,"it('test 1 for easy 2', () => {
			expect(easy2(5,5)).to.eql(0);
		});'"
2,"it('test 2 for easy 2', () => {
			expect(easy2(4,4)).to.eql(0);
		});'"
2,"it('test 3 for easy 2', () => {
			expect(easy2(2,0)).to.eql(2);
		});'"
2,"it('test 4 for easy 2', () => {
			expect(easy2(99,99)).to.eql(0);
		});'"
2,"it('test 5 for easy 2', () => {
			expect(easy2(100,99)).to.eql(1);
		});'"
2,"it('test 6 for easy 2', () => {
			expect(easy2(42,32)).to.eql(10);
		});'"
2,"it('test 7 for easy 2', () => {
			expect(easy2(200,100)).to.eql(100);
		});'"
2,"it('test 8 for easy 2', () => {
			expect(easy2(4,2)).to.eql(2);
		});'"
2,"it('test 9 for easy 2', () => {
			expect(easy2(-3,-2)).to.eql(-1);
		});'"
2,"it('test 10 for easy 2', () => {
			expect(easy2(-2,2)).to.eql(-4);
		});'"
